At the weekend,W weekend
Be bold,bądź śmiały
Code that needs to be met / satisfied ("up to code"),Przepis który musi być spełniony / spełniony
Do you date,Czy się odważysz
Do you eat candy?,Czy ty jesz słodycze
Do you enjoy it?,Czy to ci sprawia przyjemność?
Fruit contains a lot of sugar,Owoce zawierają dużo cukru
Give ___ a Shot = Inject medicine with a needle,Daj ___ zastrzyk = wstrzyknij lekarstwo za pomocą igły
Hire them,Wynajmij ich
I am afraid of dogs,Boje się psów
I am afraid of heights,Mam lęk wysokości
I am afraid of you,Boje się Ciebie
I am ashamed of myself,wstydzę się siebie samego
I am ashamed of you,wstydzę się ciebie
I can't work,Nie mogę pracować
I could,mógłbym
I couldn't turn it on,Nie mogłem go włączyć
I crossed the border,przekroczyłem granicę
I don't admit,Nie przyznaję się
I don't have to clean the floor,Nie muszę myć podłogi
I don't have to,Nie muszę
I don't remember what his name is,Nie pamiętam jak on ma na imię
I don't sleep at all,W ogóle nie śpię
I don't sleep at all,W ogóle nie śpię
I eat too much,jem za dużo
I enjoyed it very much,To mi się bardzo podobało
I feel like eating,Mam ochotę jeść
I finished writing yesterday morning,Skończyłem pisać wczoraj rano
I forget to give water to my dogs,Zapominam dać wody moim psom
I had fun,Bawiłem się
I had to,Musiałem
I like him,Lubię go
I might,mógłbym
I must,Muszę
I mustn't,Nie wolno mi
I overslept,Zaspałem
I say it to them,mówię to im
I shouldn't,nie powinienem
I slept too little,Za mało spałem
I tell them that,mówię im to
I tell you,mówię wam
I try not to eat milk,Staram się nie jeść mleka
I wan't be,Nie będę
I want to be,Chcę być
I want to see what real permissions look like,Chce zobaczyć jak wyglądają prawdziwe uprawnienia
I'm annoyed,Poirytowany
I'm bored,Jestem znudzony
I'm boring,Jestem nudny
I'm stressed,Jestem zestresowany
I'm working on the same issue,Pracuję nad tą samą kwestią
ICT,informatyka (w szkole)
It depends on,To zależy od
It describes what the REST API endpoints look like,To opisuje jak endpointy REST API wyglądają
It is to die for,Za to warto umrzeć
It might be wrong,Może być złe
It was very enjoyable,To było bardzo zabawne
It will last a lot of time,To będzie trwać dużo czasu
It will take a lot of time,To zajmie dużo czasu
It works well,Działa dobrze
It's a pity,Szkoda
Let me go!,Pozwól mi odejść
Much better than,Dużo lepsze
Muscles were sore,Bolały mięśnie
Music is interesting,Muzyka jest interesująca
Our dogs,Nasze psy
She didn't want to sell the female dogs,Nie chciała sprzedać suczek
She is interested in music,Ona jest zainteresowana muzyką
She lost her wallet abroad,Straciła swój portwel za granicą
She makes you go to the mountains,Zmusza Cię do jechania w góry
She took photos,Ona zrobiła zdjęcia
There are many people like that,Jest wielu takich ludzi
There is a restaurant colled Szamma,Jest restauracja nazywana Szamma
There may be only six people,Może być tylko sześć osób
There was sth,Było coś
There wasn't sth,Nie było czegoś
They have little hair,Oni mają mało włosów
They let you know,Daje Ci znać
They'll help him,Pomogą mu
This language was supposed to be,Ten język miał być
Three pices of advice,Trzy rady
Too mach hair,Za dużo włosów
We argue,Kłócimy się
We had,mieliśmy
We magically generate,Generujemy magicznie
We must curry them,Musimy je nieść
We must take,Musumy wziąć
We sold,Sprzedaliśmy
We think if we really need,Myślimy czy naprawdę tego potrzebujemy
We understand each other,Zrozumieliśmy się nawzajem
We will have to,Będziemy musieli
We're looking at each other,Patrzymy na siebie nawzajem
We're used to it,Jrsteśmy przyzwyczajeni
What does she like?,Co ona lubi?
What happened,Co się stało
What is she like?,Jaka ona jest?
When I studied,Podczas studiów
Who's lacking social skills?,Komu brakuje umiejętności społecznych?
With his children,Z jego dziećmi
another spoon,jeszcze jedna/inna łyżka
call my wife,zadzwonić do mojej żony
cross the border,przekroczyć granicę
divide your work,podzielić pracę
do the washing,zrobić pranie
eat your sorrows away,zajadać smutki
enjoy your meal,smacznego
in fact,tak naprawdę
in several years,za kilka lat
it's dangerous for them,To dla nich niebezpieczne
jawellery,biżuteria
job advertisement,ogłoszenie o pracę
job interview,rozmowa o pracę
lifestyle,styl życia
look like,wygląda jak
make progress,robić postepy
make time,znaleźć czas
me hobby,moje hobby
on Saturday,w sobotę
on Thursday,w czwartek
on Tuesday,we wtorek
on Wednesday,w środę
on my way home,po drodze do domu
once a month,raz w miesiącu
other people,inni ludzie
overtook me,wyprzedziły mnie
pushing up the daisies,wąchać kwiatki od spodu
quite big,dosyć dużu
road rage,wściekły na innych kierowców
road sign,znak drogowy
rob a bank,okradać bank
rob a person,okradać osobę
sedative (sedate) - medicine to make calm / sleepy,uspokajający (uspokajający) - lek uspokajający / usypiający
send a text message to my wife,wysyłać smsy do mojej żony
someone couldn't do,ktoś nie umiał
steal jewellery,kraść biżuterię
taking photos,robić zdjęcia
tell the truth,mówić prawdę
the happiest,najszczęśliwszy
timeconsuming,czasochłonny
two hours later,dwie godziny później
waste money on sth,trafić pieniądze na coś
weighlersness,nieważkość
weightless,nic nie ważący
with them,z nimi
would still be alive,nadal by żył
yard sale / garage sale - people sell their items at their house,Wyprzedaż podwórkowa / sprzedaż w garażu - ludzie sprzedają swoje rzeczy w swoim domu
